   BENCHMARK INFORMATION
Compute the projection of the integer hull of existential formulas in the theory of linear integer-real arithmetic.
benchmark definition:    benchmark-defs/IntHull.xml
name:                    IntHull
run sets:                lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp
date:                    Thu, 2025-07-03 14:43:50 EDT
tool:                    Projection of integer hull 1.0
tool executable:         /home/diagram/src/research/projects/duet/duet-nk-popl-local-abstraction/_build/default/srk/bigtop.exe
options:
resource limits:
- time:                  30 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    frame
os:                      Linux-6.11.0-28-generic-x86_64-with-glibc2.39
cpu:                     Intel Core Ultra 5 125H
- cores:                 18
- max frequency:         4500.0 MHz
- turbo boost enabled:   True
ram:                     33084.030976 MB
------------------------------------------------------------



lira-convex-hull-pc.cra-monotone-svcomp
Run set 1 of 18: skipped


lira-convex-hull-lplh.cra-monotone-svcomp
Run set 2 of 18: skipped


lira-convex-hull-pc-lplh.cra-monotone-svcomp
Run set 3 of 18: skipped


lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp
Run set 4 of 18 with options '-lira-convex-hull-real-relaxation-lw' and propertyfile 'None'

inputfile                                                                        status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------------------------------------------
loops/array-1301af8.i---hull-0.yml                                               done                             0.03        0.03        None
loops/array-1301af8.i---hull-1.yml                                               done                             0.03        0.03        None
loops/array-1301af8.i---hull-2.yml                                               done                             0.03        0.03        None
loops/array-1301af8.i---hull-3.yml                                               done                             0.03        0.04        None
loops/array-1301af8.i---hull-4.yml                                               done                             0.03        0.03        None
loops/array-1301af8.i---hull-5.yml                                               done                             0.03        0.03        None
loops/array-22936b5.i---hull-0.yml                                               done                             0.03        0.03        None
loops/array-22936b5.i---hull-1.yml                                               done                             0.03        0.03        None
loops/array-22936b5.i---hull-2.yml                                               done                             0.03        0.04        None
loops/array-22936b5.i---hull-3.yml                                               done                             0.03        0.03        None
loops/array-22936b5.i---hull-4.yml                                               done                             0.03        0.03        None
loops/array-22936b5.i---hull-5.yml                                               done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-0.yml                                         done                             0.04        0.04        None
loops/bubble_sort-17c103a.i---hull-1.yml                                         done                             0.04        0.05        None
loops/bubble_sort-17c103a.i---hull-10.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-11.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-12.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-13.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-14.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-15.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-16.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-17.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-18.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-19.yml                                        done                             0.02        0.03        None
loops/bubble_sort-17c103a.i---hull-2.yml                                         done                             0.05        0.05        None
loops/bubble_sort-17c103a.i---hull-20.yml                                        done                             0.03        0.04        None
loops/bubble_sort-17c103a.i---hull-21.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-22.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-23.yml                                        done                             0.03        0.03        None
loops/bubble_sort-17c103a.i---hull-24.yml                                        done                             0.03        0.03        None
