tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]
/home/diagram/src/research/projects/duet/bench-nk-local-abstraction-popl-2025/popl-results/tasks/svcomp-2025/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-10.yml	TIMEOUT	30.860932	30.872130448988173	363.966464	done	0.025902	0.028623892008909024	31.485952	done	0.027848	0.030443253010162152	31.223808	done	0.03352	0.036348013003589585	31.473664
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-11.yml	TIMEOUT	30.85746	30.868164965999313	364.556288	done	0.028495	0.030658511008368805	31.506432	done	0.031045	0.033527639010571875	31.477760	done	0.027542	0.02967672501108609	31.285248
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-2.yml	TIMEOUT	30.861543	30.87177498100209	535.920640	done	0.02736	0.030308774003060535	31.281152	done	0.027669	0.02974780798831489	31.260672	done	0.028693	0.03155757000786252	31.498240
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-3.yml	TIMEOUT	30.870937	30.87989349401323	535.252992	done	0.028282	0.03125017300772015	31.281152	done	0.027444	0.029730912996456027	31.518720	done	0.027657	0.030176062005921267	31.612928
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-4.yml	TIMEOUT	30.861164	30.87291740300134	516.960256	done	0.026159	0.028252631003852002	31.363072	done	0.026875	0.029384198001935147	31.346688	done	0.026792	0.029623818991240114	31.342592
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-5.yml	TIMEOUT	30.860988	30.873354961004225	516.898816	done	0.027583	0.030455947999143973	31.293440	done	0.028394	0.030138973001157865	31.477760	done	0.028614	0.030875504002324305	31.354880
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-8.yml	TIMEOUT	30.85872	30.872165095992386	368.041984	done	0.026937	0.029821777003235184	31.322112	done	0.026518	0.02878837399475742	31.625216	done	0.029077	0.0316364009922836	31.539200
svcomp2025-cra-monotone-hulls/loops/compact12196a.i---hull-9.yml	TIMEOUT	30.859326	30.870022324001184	366.661632	done	0.025093	0.027638634011964314	31.244288	done	0.027758	0.030889390996890143	31.334400	done	0.026871	0.029673957993509248	31.272960
svcomp2025-cra-monotone-hulls/loops/heavy-1458510.i---hull-10.yml	TIMEOUT	30.862723	30.87323600499076	448.946176	done	0.032346	0.034323989995755255	31.633408	done	0.02766	0.030015210999408737	31.711232	done	0.028468	0.03088464900793042	31.637504
