   BENCHMARK INFORMATION
Compute the projection of the integer hull of existential formulas in the theory of linear integer-real arithmetic.
benchmark definition:    benchmark-defs/IntHull.xml
name:                    IntHull
run sets:                compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.termination-monotone-svcomp
date:                    Fri, 2025-07-04 02:45:34 EDT
tool:                    Projection of integer hull 1.0
tool executable:         /home/diagram/src/research/projects/duet/duet-nk-popl-local-abstraction/_build/default/srk/bigtop.exe
options:
resource limits:
- time:                  30 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    frame
os:                      Linux-6.11.0-28-generic-x86_64-with-glibc2.39
cpu:                     Intel Core Ultra 5 125H
- cores:                 18
- max frequency:         4500.0 MHz
- turbo boost enabled:   True
ram:                     33084.030976 MB
------------------------------------------------------------



lira-convex-hull-pc.termination-monotone-svcomp
Run set 1 of 18: skipped


lira-convex-hull-lplh.termination-monotone-svcomp
Run set 2 of 18: skipped


lira-convex-hull-pc-lplh.termination-monotone-svcomp
Run set 3 of 18: skipped


lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp
Run set 4 of 18: skipped


lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp
Run set 5 of 18: skipped


compare-lira-convex-hull-pc-lplh-vs-pc.termination-monotone-svcomp
Run set 6 of 18: skipped


compare-lira-convex-hull-pc-lplh-vs-lira-lplh.termination-monotone-svcomp
Run set 7 of 18: skipped


compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.termination-monotone-svcomp
Run set 8 of 18 with options '-compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw' and propertyfile 'None'

inputfile                                                                        status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------------------------------------------
loops/array-106eb21.i---hull-0.yml                                               done                             0.07        0.08        None
loops/array-106eb21.i---hull-1.yml                                               done                             0.07        0.08        None
loops/array-106eb21.i---hull-2.yml                                               done                             0.07        0.07        None
loops/array-106eb21.i---hull-3.yml                                               done                             0.06        0.07        None
loops/array-106eb21.i---hull-4.yml                                               done                             0.06        0.06        None
loops/array-106eb21.i---hull-5.yml                                               done                             0.06        0.06        None
loops/array-29bf859.i---hull-0.yml                                               done                             0.07        0.07        None
loops/array-29bf859.i---hull-1.yml                                               done                             0.07        0.07        None
loops/array-29bf859.i---hull-2.yml                                               done                             0.07        0.08        None
loops/array-29bf859.i---hull-3.yml                                               done                             0.07        0.07        None
loops/array-29bf859.i---hull-4.yml                                               done                             0.06        0.06        None
loops/array-29bf859.i---hull-5.yml                                               done                             0.06        0.06        None
loops/bubble_sort-14a063c.i---hull-0.yml                                         done                             0.13        0.14        None
loops/bubble_sort-14a063c.i---hull-1.yml                                         done                             0.14        0.14        None
loops/bubble_sort-14a063c.i---hull-10.yml                                        done                             0.08        0.08        None
loops/bubble_sort-14a063c.i---hull-11.yml                                        done                             0.08        0.08        None
loops/bubble_sort-14a063c.i---hull-12.yml                                        done                             0.06        0.06        None
loops/bubble_sort-14a063c.i---hull-13.yml                                        done                             0.05        0.06        None
loops/bubble_sort-14a063c.i---hull-14.yml                                        done                             0.06        0.06        None
loops/bubble_sort-14a063c.i---hull-15.yml                                        done                             0.05        0.06        None
loops/bubble_sort-14a063c.i---hull-16.yml                                        done                             0.05        0.06        None
loops/bubble_sort-14a063c.i---hull-17.yml                                        done                             0.05        0.06        None
loops/bubble_sort-14a063c.i---hull-18.yml                                        done                             0.06        0.07        None
loops/bubble_sort-14a063c.i---hull-19.yml                                        done                             0.05        0.06        None
loops/bubble_sort-14a063c.i---hull-2.yml                                         done                             0.17        0.17        None
loops/bubble_sort-14a063c.i---hull-20.yml                                        done                             0.06        0.06        None
loops/bubble_sort-14a063c.i---hull-21.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-22.yml                                        done                             0.03        0.04        None
loops/bubble_sort-14a063c.i---hull-23.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-24.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-25.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-26.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-27.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-28.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-29.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-3.yml                                         done                             0.09        0.09        None
loops/bubble_sort-14a063c.i---hull-30.yml                                        done                             0.03        0.03        None
loops/bubble_sort-14a063c.i---hull-31.yml                                        done                             0.04        0.04        None
loops/bubble_sort-14a063c.i---hull-32.yml                                        done                             0.03        0.03        None
