tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-sc-precond-accelerate.polybench-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-c4b-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-hola-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-precond-accelerate.polybench-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-c4b-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-hola-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-precond-accelerate.polybench-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-c4b-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-hola-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-precond-accelerate.polybench-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-c4b-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-hola-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-precond-accelerate.polybench-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-c4b-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-hola-integralized; lira-convex-hull-sc-precond-accelerate.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]
/home/diagram/src/research/projects/duet/bench-nk-local-projection/tasks/convhull/	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
polybench-integralized/2mm.merged.chull0_equivalent.yml	done	0.059394933	0.0601298170076916	29.495296	0.213867	done	0.040236678	0.0410556999995606	29.466624	0.171875	done	0.051185861	0.051684095997188706	29.523968	0.386108
polybench-integralized/2mm.merged.chull10_equivalent.yml	done	0.033856041	0.03431659999478143	29.552640	0.116821	done	0.035369229	0.03573347999918042	29.528064	0.245361	done	0.041382293	0.04194519400334684	29.478912	0.314575
polybench-integralized/2mm.merged.chull11_integralized.yml	done	0.057788968	0.05824085600033868	29.945856	0.354431	done	0.067011355	0.07038990400178591	29.724672	0.169250	done	0.047037361	0.04753695000545122	29.958144	0.321228
polybench-integralized/2mm.merged.chull12_equivalent.yml	done	0.035285771	0.03572172499843873	29.618176	0.205627	done	0.065559959	0.06605503500031773	29.470720	0.150452	done	0.059679979	0.06012932900193846	29.495296	0.276550
polybench-integralized/2mm.merged.chull13_integralized.yml	done	0.045728942	0.04617106200021226	30.031872	0.296814	done	0.062289846	0.06286747100239154	29.835264	0.127197	done	0.045237163	0.04576952900242759	29.904896	0.546204
polybench-integralized/2mm.merged.chull14_equivalent.yml	done	0.052260684	0.05287678600871004	29.446144	0.143677	done	0.050315453	0.050794794005923904	29.450240	0.189331	done	0.048042303	0.048601456997857895	29.446144	0.112671
polybench-integralized/2mm.merged.chull15_integralized.yml	done	0.072535249	0.07324084900028538	29.962240	0.249451	done	0.057422926	0.05803269500029273	29.749248	0.074219	done	0.055517124	0.056058868001855444	30.044160	0.058289
polybench-integralized/2mm.merged.chull1_integralized.yml	done	0.055676259	0.05619753400969785	30.031872	0.190674	done	0.039619422	0.04010098200524226	29.835264	0.282349	done	0.040422196	0.04122117299993988	29.941760	0.176758
polybench-integralized/2mm.merged.chull2_integralized.yml	done	0.073821116	0.07423064899921883	30.269440	0.367249	done	0.05318263	0.05384219400002621	30.044160	0.124390	done	0.044709885	0.04557453199959127	30.134272	0.471619
polybench-integralized/2mm.merged.chull3_equivalent.yml	done	0.050901285	0.051354851995711215	29.622272	0.184814	done	0.046704565	0.0472090350012877	29.409280	0.143982	done	0.04614682	0.04697153699817136	29.470720	0.310181
polybench-integralized/2mm.merged.chull4_integralized.yml	done	0.054550011	0.05499834301008377	30.052352	0.268311	done	0.05962954	0.06007869599852711	29.716480	0.174133	done	0.0387694	0.039115443993068766	29.999104	0
polybench-integralized/2mm.merged.chull5_integralized.yml	done	0.077142463	0.07767814000544604	30.265344	0.326172	done	0.061293358	0.06173847799800569	29.949952	0.158020	done	0.039013107	0.039424031994713005	30.101504	0.685852
polybench-integralized/2mm.merged.chull6_equivalent.yml	done	0.314170381	0.31463680299930274	37.863424	4.068970	done	0.051821565	0.05231461000221316	30.957568	0.317078	done	0.373041819	0.13497763399936957	36.712448	1.717834
polybench-integralized/2mm.merged.chull7_integralized.yml	done	0.649647218	0.6554822940088343	40.562688	9.158081	done	0.068898763	0.0693663070051116	31.752192	0.383911	done	3.594965761	0.9185223800013773	100.093952	19.304871
polybench-integralized/2mm.merged.chull8_equivalent.yml	done	0.062499031	0.06303348198707681	29.720576	0.177246	done	0.044040342	0.044607249001273885	29.450240	0.193909	done	0.073289609	0.07439893099945039	29.528064	0.272949
polybench-integralized/2mm.merged.chull9_integralized.yml	done	0.062987461	0.06345660999068059	29.970432	0.314758	done	0.050996373	0.05154201799450675	29.822976	0.124451	done	0.046947152	0.04752692599868169	29.966336	0.145325
polybench-integralized/3mm.merged.chull0_equivalent.yml	done	0.052155906	0.052646476004156284	29.519872	0.208435	done	0.046474669	0.046881472000677604	29.405184	0.267578	done	0.037155547	0.03765510499943048	29.507584	0.455139
polybench-integralized/3mm.merged.chull10_integralized.yml	done	0.654052828	0.6545739690045593	40.239104	9.659424	done	0.086694118	0.08714654800132848	31.789056	1.766541	done	3.526272039	0.879032395001559	99.950592	19.871521
polybench-integralized/3mm.merged.chull11_equivalent.yml	done	0.043097434	0.043636286005494185	29.519872	0.206421	done	0.0499449	0.051091187000565697	29.392896	0.176880	done	0.11519503	0.11763393900037045	29.523968	0.257141
polybench-integralized/3mm.merged.chull12_integralized.yml	done	0.05039123	0.05123647999425884	30.068736	0.409485	done	0.052123229	0.05259312500129454	29.921280	0.139343	done	0.1131603	0.11371710499952314	29.970432	0.332031
polybench-integralized/3mm.merged.chull13_equivalent.yml	done	0.046871564	0.04733569800737314	29.655040	0.230225	done	0.041956514	0.042391164002765436	29.573120	0.179565	done	0.047864774	0.0483870090029086	29.523968	0.264160
polybench-integralized/3mm.merged.chull14_integralized.yml	done	0.075494464	0.0760348449985031	30.093312	0.097961	done	0.077565443	0.07809180799813475	29.827072	0.174133	done	0.042842308	0.04361876000621123	29.913088	0.216614
polybench-integralized/3mm.merged.chull15_equivalent.yml	done	0.043874472	0.04442371500772424	29.650944	0.171448	done	0.041361338	0.04191739600355504	29.466624	0.199402	done	0.037790906	0.03845514000568073	29.523968	0.322754
polybench-integralized/3mm.merged.chull16_integralized.yml	done	0.066318384	0.0668098089954583	30.068736	0.339722	done	0.046835514	0.04738631499640178	29.831168	0.221558	done	0.044818231	0.04534499799774494	29.921280	0.263611
polybench-integralized/3mm.merged.chull17_equivalent.yml	done	0.054549811	0.055091697999159805	29.638656	0.172302	done	0.052474544	0.05308071500621736	29.388800	0.189026	done	0.056129969	0.05696055499720387	29.560832	0.281250
polybench-integralized/3mm.merged.chull18_integralized.yml	done	0.064275593	0.06476997300342191	30.167040	0.286865	done	0.053255134	0.05382663500495255	29.851648	0.164612	done	0.052382741	0.0530218900021282	29.917184	0.372498
