tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[compare-convex-hull-sc-accelerated-vs-real-relaxation.polybench; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-c4b; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-hola; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-svcomp]	[compare-convex-hull-sc-accelerated-vs-real-relaxation.polybench; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-c4b; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-hola; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-svcomp]	[compare-convex-hull-sc-accelerated-vs-real-relaxation.polybench; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-c4b; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-hola; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-svcomp]	[compare-convex-hull-sc-accelerated-vs-real-relaxation.polybench; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-c4b; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-hola; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-svcomp]	[compare-convex-hull-sc-accelerated-vs-real-relaxation.polybench; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-c4b; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-hola; compare-convex-hull-sc-accelerated-vs-real-relaxation.cra-monotone-svcomp]
/home/diagram/src/research/projects/duet/bench-nk-local-projection/tasks/convhull/	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
polybench/2mm.merged.chull0.yml	done	0.041922386	0.04240264799591387	29.995008	0
polybench/2mm.merged.chull1.yml	done	0.070344546	0.07090134999452857	30.519296	0.136597
polybench/2mm.merged.chull10.yml	done	0.056024666	0.05654147499444662	29.945856	0.091675
polybench/2mm.merged.chull11.yml	done	0.06444203	0.06497241099714302	30.474240	0.127747
polybench/2mm.merged.chull12.yml	done	0.061562642	0.06207554899447132	30.023680	0.124268
polybench/2mm.merged.chull13.yml	done	0.044556283	0.04494422899733763	30.425088	0.206604
polybench/2mm.merged.chull14.yml	done	0.053848725	0.05432457899587462	29.913088	0.197510
polybench/2mm.merged.chull15.yml	done	0.051945262	0.052482300001429394	30.437376	0.235046
polybench/2mm.merged.chull2.yml	done	0.055997169	0.05651079699600814	30.658560	0.297791
polybench/2mm.merged.chull3.yml	done	0.070722313	0.07126308800070547	30.048256	0.198181
polybench/2mm.merged.chull4.yml	done	0.050700976	0.051306348002981395	30.396416	0.193237
polybench/2mm.merged.chull5.yml	done	0.047996326	0.048441870996612124	30.568448	0.208618
polybench/2mm.merged.chull6.yml	done	0.066092831	0.06659896099881735	31.895552	0.344727
polybench/2mm.merged.chull7.yml	done	0.101845928	0.10239916899445234	33.460224	0.779053
polybench/2mm.merged.chull8.yml	done	0.05028789	0.05085850900650257	30.007296	0.147583
polybench/2mm.merged.chull9.yml	done	0.049545429	0.05000563800422242	30.425088	0.132141
polybench/3mm.merged.chull0.yml	done	0.052519422	0.05305613499513129	30.044160	0.162720
polybench/3mm.merged.chull1.yml	done	0.05500647	0.055589506002434064	30.437376	0.258301
polybench/3mm.merged.chull10.yml	done	0.105597547	0.10611961100221379	33.579008	0.686157
polybench/3mm.merged.chull11.yml	done	0.036310241	0.03668451400153572	29.941760	0.076477
polybench/3mm.merged.chull12.yml	done	0.075789424	0.0764348640004755	30.568448	0.150940
polybench/3mm.merged.chull13.yml	done	0.053078082	0.053697916999226436	29.913088	0.162781
polybench/3mm.merged.chull14.yml	done	0.05005155	0.05052026200428372	30.437376	0.205811
polybench/3mm.merged.chull15.yml	done	0.084432424	0.0851408380040084	30.121984	0.144287
polybench/3mm.merged.chull16.yml	done	0.081068378	0.0818237740022596	30.343168	0.182434
polybench/3mm.merged.chull17.yml	done	0.0636679	0.06420646399783436	30.044160	0.207581
polybench/3mm.merged.chull18.yml	done	0.060143583	0.06108236800355371	30.523392	0.225708
polybench/3mm.merged.chull2.yml	done	0.066471606	0.06697188700491097	30.633984	0.300537
polybench/3mm.merged.chull3.yml	done	0.083532015	0.08439763500064146	29.970432	0.158203
polybench/3mm.merged.chull4.yml	done	0.055003542	0.05563503200392006	30.408704	0.208191
polybench/3mm.merged.chull5.yml	done	0.054502151	0.05496158800087869	30.568448	0.236816
polybench/3mm.merged.chull6.yml	done	0.052651893	0.053152527994825505	29.966336	0.097656
polybench/3mm.merged.chull7.yml	done	0.062630094	0.06319009499566164	30.507008	0.154724
polybench/3mm.merged.chull8.yml	done	0.060321493	0.06075765599962324	30.666752	0.271973
polybench/3mm.merged.chull9.yml	done	0.08000734	0.0806252129987115	31.838208	0.359741
polybench/adi.merged.chull0.yml	done	0.055964148	0.056563685000583064	29.921280	0.184143
polybench/adi.merged.chull1.yml	done	0.040947985	0.04135169600340305	30.568448	0.264038
polybench/adi.merged.chull10.yml	done	0.077966779	0.07844287800253369	31.997952	0.311218
polybench/adi.merged.chull11.yml	done	0.072862354	0.07344594699679874	31.408128	0.319275
polybench/adi.merged.chull12.yml	done	0.128994724	0.12965679099579575	32.878592	0.474426
polybench/adi.merged.chull13.yml	done	0.035810549	0.036701880002510734	30.175232	0.071716
polybench/adi.merged.chull14.yml	done	0.056100562	0.05669867099641124	30.363648	0.223999
polybench/adi.merged.chull2.yml	done	0.065928173	0.06647280800098088	30.044160	0.190918
polybench/adi.merged.chull3.yml	done	0.051026453	0.05161064399726456	29.913088	0.125488
polybench/adi.merged.chull4.yml	done	0.062422908	0.063098375001573	30.339072	0.194031
polybench/adi.merged.chull5.yml	done	0.067129957	0.06766497300122865	29.999104	0.198120
polybench/adi.merged.chull6.yml	done	0.063767538	0.06429205099993851	30.437376	0.230042
polybench/adi.merged.chull7.yml	done	0.037019959	0.037475807999726385	29.962240	0.125427
polybench/adi.merged.chull8.yml	done	0.037131252	0.03774464900197927	29.921280	0.077881
polybench/adi.merged.chull9.yml	done	0.066911058	0.06746552299591713	30.334976	0.227783
polybench/atax.merged.chull0.yml	done	0.056984131	0.057599763000325765	29.913088	0.155701
polybench/atax.merged.chull1.yml	done	0.057264767	0.0578846930002328	30.138368	0.180176
polybench/atax.merged.chull2.yml	done	0.073828125	0.07436920300096972	30.691328	0.208496
polybench/atax.merged.chull3.yml	done	0.04114021	0.04151874800299993	30.044160	0.155334
polybench/atax.merged.chull4.yml	done	0.065698608	0.06632812300085789	31.436800	0.275635
polybench/atax.merged.chull5.yml	done	0.067988647	0.06857071799458936	30.019584	0.159241
polybench/atax.merged.chull6.yml	done	0.040736847	0.04118165699765086	30.437376	0.167297
polybench/atax.merged.chull7.yml	done	0.052562424	0.05304047399840783	29.913088	0.174622
polybench/bicg.merged.chull0.yml	done	0.073755226	0.07432212699495722	30.175232	0.129395
polybench/bicg.merged.chull1.yml	done	0.07788259	0.07851794500311371	30.400512	0.167847
polybench/bicg.merged.chull2.yml	done	0.041129506	0.041593535999709275	30.023680	0.105225
polybench/bicg.merged.chull3.yml	done	0.079132909	0.07972407800116343	31.469568	0.302673
polybench/bicg.merged.chull4.yml	done	0.079572287	0.08007948799786391	31.514624	0.280579
polybench/bicg.merged.chull5.yml	done	0.055797393	0.056323046002944466	30.007296	0.181152
polybench/bicg.merged.chull6.yml	done	0.053659699	0.054202795996388886	30.461952	0.196472
polybench/bicg.merged.chull7.yml	done	0.068706293	0.06931147599971155	30.056448	0.089233
polybench/cholesky.merged.chull0.yml	done	0.078812209	0.07957843500480521	30.097408	0.146362
polybench/cholesky.merged.chull1.yml	done	0.040011441	0.04047215600439813	30.531584	0.159302
polybench/cholesky.merged.chull2.yml	done	0.058890165	0.05937838600220857	30.097408	0.179260
polybench/cholesky.merged.chull3.yml	done	0.087137682	0.087679191994539	31.473664	0.379456
polybench/cholesky.merged.chull4.yml	done	0.079815071	0.08041432200116105	31.485952	0.415588
polybench/cholesky.merged.chull5.yml	done	0.083446285	0.08400187799998093	32.825344	0.555786
polybench/cholesky.merged.chull6.yml	done	0.056077704	0.056708791002165526	29.937664	0.148254
polybench/cholesky.merged.chull7.yml	done	0.080295949	0.08090171700314386	30.560256	0.172363
polybench/correlation.merged.chull0.yml	done	0.075477512	0.07626973999867914	29.974528	0.141296
polybench/correlation.merged.chull1.yml	done	0.041369801	0.04177274300309364	30.568448	0.180603
polybench/correlation.merged.chull10.yml	done	0.093934103	0.09448384000279475	32.927744	0.560303
