tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]
/home/diagram/src/research/projects/duet/bench-nk-local-projection/tasks/convhull/	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
cra-monotone-svcomp-reach-safety-integralized/loop-industry-pattern/ofuf_1ba9ad6.ihull4_integralized.yml	invalid result	0.433763081	0.4342958039997029	118.505472	5.808472	TIMEOUT	300.70194323	300.8644667180015	2999.042048	5007.508972	TIMEOUT	300.695678034	300.90932555400286	3213.963264	4933.187805
cra-monotone-svcomp-reach-safety-integralized/loop-industry-pattern/ofuf_285cbaf.ihull4_integralized.yml	invalid result	0.451583363	0.4524228349982877	118.554624	5.775024	TIMEOUT	300.692334859	300.8654523309997	3151.544320	4999.782349	TIMEOUT	300.688123366	300.7923754250005	3212.296192	4415.249878
cra-monotone-svcomp-reach-safety-integralized/loop-industry-pattern/ofuf_32f9c45.ihull4_integralized.yml	invalid result	0.406196832	0.4067172529976233	118.681600	5.899353	TIMEOUT	300.680331326	300.8931889329979	3296.247808	5082.958313	TIMEOUT	300.687256321	300.95894816099826	3316.617216	4838.477295
cra-monotone-svcomp-reach-safety-integralized/loop-industry-pattern/ofuf_4db4e59.ihull4_integralized.yml	invalid result	0.437463217	0.4379354720003903	118.599680	5.487366	TIMEOUT	300.699453081	300.8730263289981	3299.397632	5217.489197	TIMEOUT	300.697889587	300.91223387900027	3376.295936	4778.093811
cra-monotone-svcomp-reach-safety-integralized/loop-industry-pattern/ofuf_5b9d94c.ihull4_integralized.yml	invalid result	0.416600696	0.41708196599938674	118.505472	5.752014	TIMEOUT	300.686466678	300.88323636100176	3210.731520	4749.072571	TIMEOUT	300.699793102	300.7687471449972	3454.562304	5018.249390
cra-monotone-svcomp-reach-safety-integralized/loops/veris.c_OpenSER_cases1_stripFullBoth_arrf427f9.ihull2_integralized.yml	done	0.307796006	0.3085145430013654	39.514112	4.105225	TIMEOUT	300.671836231	300.8171238930008	2887.389184	5180.248352	TIMEOUT	300.671885093	300.79428317499696	2851.483648	4884.955933
cra-monotone-svcomp-reach-safety-integralized/loops/verisec_OpenSER_cases1_stripFullBoth_arr34a10e.ihull2_integralized.yml	done	0.296016741	0.2965197049998096	39.497728	3.971802	TIMEOUT	300.67953625	300.84176426400154	2948.276224	5247.665466	TIMEOUT	300.672790465	300.9082252989974	2985.803776	4711.736328
cra-monotone-svcomp-reach-safety-integralized/nla-digbench-scaling/dijkstra-u_unwindbound10bb495c.ihull0_integralized.yml	done	0.577739418	0.5782525040012843	38.141952	8.604980	done	293.063594773	52.84452137999688	195.833856	1074.645752	TIMEOUT	302.365617833	56.36938845700206	217.018368	1080.911133
