tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.cra-monotone-c4b-integralized; lira-convex-hull-sc-accelerated.cra-monotone-hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.cra-monotone-c4b-integralized; convex-hull-by-gc.cra-monotone-hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.cra-monotone-c4b-integralized; convex-hull-by-gc-terms.cra-monotone-hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]
/home/diagram/src/research/projects/duet/bench-nk-local-projection/tasks/convhull/	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
polybench-integralized/2mm.merged.chull0_equivalent.yml	done	0.032717188	0.033184701002028305	29.519872	0.082275	done	0.038406766	0.03894479999871692	29.478912	0.371460	done	0.054414743	0.054930885999056045	29.474816	0.275269
polybench-integralized/2mm.merged.chull10_equivalent.yml	done	0.057062593	0.057634583998151356	29.401088	0.190063	done	0.051166423	0.05172386100093718	29.564928	0.179993	done	0.037377897	0.038494225998874754	29.655040	0.241089
polybench-integralized/2mm.merged.chull11_integralized.yml	done	0.059116746	0.05966151200118475	29.827072	0.222778	done	0.046478962	0.046999810001580045	30.179328	0.361084	done	0.043321345	0.0439918120027869	30.216192	0.143188
polybench-integralized/2mm.merged.chull12_equivalent.yml	done	0.065304838	0.06585504100075923	29.450240	0.142822	done	0.0476873	0.048229358999378746	29.528064	0.302612	done	0.037256665	0.03774164900096366	29.593600	0.028503
polybench-integralized/2mm.merged.chull13_integralized.yml	done	0.047859319	0.048321998001483735	29.843456	0.216675	done	0.073517481	0.07413556699975743	30.081024	0.086548	done	0.041744719	0.04220088699730695	30.220288	0.194214
polybench-integralized/2mm.merged.chull14_equivalent.yml	done	0.053132092	0.05369885100299143	29.388800	0.149414	done	0.036805486	0.03735821800000849	29.474816	0.372314	done	0.043645881	0.04415257000073325	29.519872	0.239624
polybench-integralized/2mm.merged.chull15_integralized.yml	done	0.054634808	0.05511935399772483	29.880320	0.203247	done	0.071440998	0.07195701400269172	30.167040	0.351929	done	0.04851838	0.04900848600300378	30.187520	0.258118
polybench-integralized/2mm.merged.chull1_integralized.yml	done	0.052461248	0.05296991499926662	29.782016	0.138123	done	0.039271604	0.03974692200063146	30.175232	0.043579	done	0.047578707	0.04801387400220847	30.175232	0.170532
