tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]
/home/diagram/src/research/projects/duet/bench/tasks/convhull/	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
HOLA-integralized/06.chull1_integralized.yml	done	0.140563355	0.14523697501863353	33.243136	1.580017	TIMEOUT	304.090756216	42.701814783999	374.816768	927.923279	TIMEOUT	303.087396939	43.87028425000608	989.630464	726.353088
HOLA-integralized/26.chull2_integralized.yml	done	1.581590732	1.585696126014227	42.467328	27.394409	TIMEOUT	307.070728014	47.39381206102553	374.337536	778.426575	TIMEOUT	306.40014551	46.90775931099779	451.915776	710.964966
cra-monotone-integralized/loop-industry-pattern/ofuf_184ba5f.ihull4_integralized.yml	invalid result	0.510179496	0.5172735330124851	132.018176	6.761963	TIMEOUT	300.685355349	300.8250745969999	179.367936	4441.464966	TIMEOUT	300.683521533	300.8428863520094	183.185408	4428.981018
cra-monotone-integralized/loop-industry-pattern/ofuf_2535ce8.ihull4_integralized.yml	invalid result	0.487094672	0.49258954598917626	132.005888	6.870300	TIMEOUT	300.683874937	300.81048954700236	181.829632	4340.170593	TIMEOUT	300.688353565	300.76052821599296	179.572736	4299.812988
cra-monotone-integralized/loop-industry-pattern/ofuf_3e5ee9f.ihull4_integralized.yml	invalid result	0.490877644	0.496602838014951	132.128768	6.864136	TIMEOUT	300.649524359	300.9472567829944	182.267904	4382.347595	TIMEOUT	300.665770172	300.77396445401246	180.936704	4374.428406
cra-monotone-integralized/loop-industry-pattern/ofuf_42b3715.ihull4_integralized.yml	invalid result	0.49058483	0.4963690819859039	132.018176	7.357788	TIMEOUT	300.681226217	300.8488792120188	173.142016	4340.043945	TIMEOUT	300.68520417	300.81707892901613	181.346304	4260.228333
cra-monotone-integralized/loop-industry-pattern/ofuf_5abe089.ihull4_integralized.yml	invalid result	0.510004336	0.5178234799823258	132.096000	8.455872	TIMEOUT	300.667206795	300.91245525999693	173.932544	4277.193665	TIMEOUT	300.688474312	300.7397513310134	179.634176	4316.280518
cra-monotone-integralized/loops/veris.c_OpenSER_cases1_stripFullBoth_arrae3f84.ihull2_integralized.yml	done	2.892148045	2.900048835988855	51.470336	52.605408	done	295.462438563	295.81629561501904	729.858048	4328.324036	TIMEOUT	301.546903001	303.6366118880105	1117.843456	4590.329895
