tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[lira-convex-hull-sc-accelerated.polybench-integralized; lira-convex-hull-sc-accelerated.c4b-integralized; lira-convex-hull-sc-accelerated.hola-integralized; lira-convex-hull-sc-accelerated.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc.polybench-integralized; convex-hull-by-gc.c4b-integralized; convex-hull-by-gc.hola-integralized; convex-hull-by-gc.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]	[convex-hull-by-gc-terms.polybench-integralized; convex-hull-by-gc-terms.c4b-integralized; convex-hull-by-gc-terms.hola-integralized; convex-hull-by-gc-terms.cra-monotone-svcomp-integralized]
/home/diagram/src/research/projects/duet/bench/tasks/convhull/	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
polybench-integralized/2mm.merged.chull0_equivalent.yml	done	0.0864381	0.22485033998964354	52.797440	1.522278	done	0.040659784	0.04107031901367009	29.437952	0.233582	done	0.034347125	0.03476893898914568	29.650944	0.078857
polybench-integralized/2mm.merged.chull10_equivalent.yml	done	0.036417687	0.04096734497579746	29.564928	0.155640	done	0.041254526	0.041669573984108865	29.523968	0.240723	done	0.035668145	0.03611596900736913	29.519872	0.166870
polybench-integralized/2mm.merged.chull11_integralized.yml	done	0.042190896	0.04641186600201763	29.728768	0.258606	done	0.050997711	0.05147984198993072	29.937664	0.164978	done	0.040374614	0.04081883799517527	30.044160	0
polybench-integralized/2mm.merged.chull12_equivalent.yml	done	0.052756141	0.05712115901405923	29.478912	0.093750	done	0.042499693	0.0429435099940747	29.437952	0.445312	done	0.045364367	0.045824189990526065	29.523968	0.246765
polybench-integralized/2mm.merged.chull13_integralized.yml	done	0.040497862	0.04468451699358411	29.872128	0.162292	done	0.039720993	0.04057533401646651	29.880320	0.198059	done	0.04953096	0.05082381301326677	29.937664	0.440247
polybench-integralized/2mm.merged.chull14_equivalent.yml	done	0.052315285	0.05638167299912311	29.433856	0.218811	done	0.037224626	0.03760659199906513	29.519872	0.261780	done	0.043694362	0.044102457992266864	29.560832	0.285767
polybench-integralized/2mm.merged.chull15_integralized.yml	done	0.039287511	0.04327491999720223	29.827072	0.155457	done	0.041175565	0.04202245100168511	29.868032	0.206177	done	0.046015685	0.04670822201296687	29.974528	0.207825
polybench-integralized/2mm.merged.chull1_integralized.yml	done	0.055568749	0.05963045798125677	29.736960	0.211609	done	0.050619658	0.051076467003440484	29.880320	0.319336	done	0.05247788	0.05438720199163072	29.913088	0.255127
